YEAR,PERWT,BPL,ANCESTR1,OCC1990
2000,2393.76,4,920,22
2000,1695.58,24,32,55
2000,1994.8,24,32,185
2000,1496.1,12,902,804
2000,1496.1,12,902,313
2000,1296.62,12,32,436
2000,1895.06,12,22,575
2000,2692.98,19,32,22
2000,1795.32,54,939,13
2000,1695.58,25,51,503
2000,2493.5,37,50,313
2000,1496.1,300,237,804
2000,698.18,300,237,436
2000,2493.5,36,939,356
2000,2194.28,42,142,95
2000,1196.88,42,939,207
2000,1895.06,39,125,22
2000,1895.06,300,11,7
2000,2294.02,12,291,804
2000,2194.28,12,939,15
2000,2194.28,12,11,95
2000,1196.88,23,22,243
2000,1695.58,23,50,204
2000,1895.06,11,224,418
2000,1496.1,12,50,313
2000,2393.76,17,32,337
2000,1695.58,17,50,44
2000,5984.4,44,51,779
2000,1695.58,34,51,22
2000,2194.28,25,84,313
2000,1695.58,17,32,804
2000,1695.58,36,82,64
2000,2194.28,12,920,24
2000,1994.8,12,22,436
2000,1795.32,26,50,804
2000,2393.76,20,51,575
2000,2493.5,29,939,313
2000,1994.8,5,88,313
2000,2194.28,12,22,379
2000,1695.58,26,935,434
2000,1496.1,55,50,468
2000,2194.28,300,234,405
2000,1994.8,42,32,17
2000,1895.06,34,32,313
2000,1496.1,12,902,329
2000,2692.98,39,50,549
