"YEAR","DATANUM","SERIAL","HHWT","GQ","PERNUM","PERWT","AGE","BPL","BPLD","ANCESTR1","ANCESTR1D","OCC1990"
2000,1,630250,2094.54,1,1,2593.24,38,300,30030,235,2350,505
2000,1,630250,2094.54,1,2,2992.2,41,300,30030,291,2910,468
2000,1,643416,2692.98,1,1,1695.58,38,36,3600,290,2900,905
2000,1,643416,2692.98,1,3,1795.32,43,36,3600,290,2900,313
2000,1,658776,1496.1,1,1,3790.12,45,48,4800,291,2910,64
2000,1,659973,1795.32,1,1,1795.32,43,36,3600,291,2910,754
2000,1,708546,3490.9,1,1,2892.46,44,200,20000,210,2101,479
2000,1,708546,3490.9,1,2,3191.68,35,200,20000,210,2101,488
2000,1,736473,1196.88,1,1,1396.36,40,200,20000,210,2101,156
2000,1,770883,598.44,1,2,598.44,32,8,800,225,2251,535
2000,1,772180,598.44,1,1,598.44,42,35,3500,291,2910,22
2000,1,780758,897.66,1,2,598.44,30,36,3600,291,2910,475
2000,1,794721,2892.46,1,1,3490.9,35,300,30025,234,2340,443
2000,1,802302,2393.76,1,1,1396.36,36,300,30060,238,2380,485
2000,1,802302,2393.76,1,2,2094.54,34,300,30060,238,2380,744
2000,1,803099,598.44,1,5,897.66,36,36,3600,291,2910,253
2000,1,805792,2593.24,1,4,2892.46,43,200,20000,210,2101,468
2000,1,805992,1695.58,1,2,2294.02,39,36,3600,271,2710,447
2000,1,813572,3291.42,1,1,1994.8,48,36,3600,290,2900,207
2000,1,825541,2892.46,1,1,2294.02,30,36,3600,290,2900,804
2000,1,825940,4089.34,1,2,3790.12,30,300,30025,234,2340,155
2000,1,827137,1695.58,1,1,4687.78,40,300,30030,235,2350,809
2000,1,828633,2094.54,1,2,1496.1,30,200,20000,210,2101,436
2000,1,829431,1795.32,1,1,2692.98,33,8,800,291,2910,275
2000,1,833819,1994.8,1,1,2892.46,32,200,20000,210,2101,889
2000,1,833819,1994.8,1,2,2393.76,34,200,20000,210,2101,486
2000,1,833819,1994.8,1,4,2094.54,32,200,20000,210,2101,486
2000,1,854865,1695.58,1,1,1795.32,38,300,30030,227,2272,356
2000,1,856061,1795.32,1,1,1795.32,34,250,25000,271,2710,783
2000,1,857558,2094.54,1,1,2294.02,47,300,30065,239,2390,779
2000,1,857558,2094.54,1,2,2393.76,45,36,3600,239,2390,338
2000,1,858655,2992.2,1,2,2294.02,30,300,30030,235,2350,446
2000,1,859652,1695.58,1,1,2692.98,44,51,5100,210,2101,154
2000,1,864240,1396.36,1,3,1396.36,47,300,30030,235,2350,338
2000,1,864240,1396.36,1,4,1496.1,45,300,30030,235,2350,26
2000,1,864240,1396.36,1,5,1496.1,39,300,30030,235,2350,468
2000,1,865636,1695.58,1,1,797.92,33,250,25000,271,2710,318
2000,1,865836,1695.58,1,2,1196.88,34,36,3600,290,2900,558
2000,1,870424,2393.76,1,2,2692.98,37,36,3600,271,2710,469
2000,1,875211,2294.02,1,1,2892.46,30,36,3600,235,2350,104
2000,1,876408,797.92,1,2,1196.88,30,36,3600,275,2750,253
2000,1,884088,2892.46,1,2,3490.9,38,300,30020,233,2330,23
2000,1,890372,2393.76,1,1,1795.32,40,300,30050,237,2370,346
2000,1,893264,3191.68,1,1,2593.24,35,300,30025,290,2900,376
2000,1,893464,1994.8,1,3,2094.54,37,300,30065,290,2900,809
2000,1,893763,2692.98,1,1,3191.68,31,300,30030,235,2350,579
2000,1,893763,2692.98,1,2,1795.32,31,300,30030,235,2350,319
2000,1,894461,2892.46,1,2,2294.02,37,300,30025,234,2340,883
2000,1,894561,2593.24,1,6,1795.32,33,36,3600,210,2102,453
2000,1,894661,1795.32,1,2,2692.98,40,36,3600,290,2900,657
2000,1,895060,1795.32,1,1,2094.54,40,300,30025,290,2900,579
2000,1,895957,2294.02,1,1,1795.32,34,300,30030,235,2350,435
2000,1,895957,2294.02,1,3,1795.32,33,300,30030,235,2350,435
2000,1,896456,1994.8,1,2,1695.58,40,300,30025,234,2340,535
2000,1,896755,1496.1,1,1,1396.36,33,200,20000,210,2102,435
2000,1,896755,1496.1,1,2,2094.54,33,200,20000,210,2102,405
2000,1,897055,1496.1,1,2,1496.1,49,300,30030,235,2350,376
2000,1,899648,2593.24,1,2,2892.46,40,300,30050,237,2370,26
2000,1,899648,2593.24,1,6,2393.76,40,300,30050,237,2370,687
2000,1,907029,2393.76,1,1,2593.24,36,36,3600,271,2710,319
2000,1,910021,1196.88,1,1,1196.88,44,300,30030,290,2900,535
2000,1,910120,1496.1,1,1,1496.1,47,300,30030,235,2350,869
2000,1,910120,1496.1,1,3,1396.36,35,300,30030,235,2350,563
2000,1,917402,1795.32,1,1,1496.1,43,300,30025,234,2340,405
2000,1,920593,2094.54,1,1,1795.32,39,300,30025,234,2340,208
2000,1,921990,1795.32,1,4,2094.54,33,300,30025,234,2340,274
2000,1,923087,2593.24,1,1,3490.9,37,300,30030,235,2350,22
2000,1,923984,1695.58,1,1,1396.36,32,300,30025,291,2910,744
2000,1,923984,1695.58,1,2,1496.1,32,300,30025,291,2910,744
2000,1,924982,1695.58,1,2,2094.54,35,300,30020,235,2350,889
2000,1,926478,1795.32,1,1,1795.32,34,300,30030,248,2481,203
2000,1,928572,1695.58,1,2,1994.8,40,250,25000,271,2710,448
2000,1,930966,2094.54,4,1,2094.54,44,36,3600,290,2900,359
2000,1,934956,3889.86,1,1,4687.78,34,36,3600,271,2710,33
2000,1,936053,1196.88,1,1,2593.24,44,300,30050,237,2370,355
2000,1,936053,1196.88,1,2,2094.54,46,300,30050,237,2370,313
2000,1,936153,2892.46,1,1,3291.42,47,300,30030,235,2350,453
2000,1,936252,1994.8,1,1,2094.54,40,300,30025,248,2481,22
2000,1,946925,1795.32,1,1,1795.32,38,36,3600,290,2900,21
2000,1,949119,1496.1,1,1,1196.88,38,300,30030,235,2350,779
2000,1,969366,4089.34,1,1,2294.02,32,36,3600,291,2910,4
2000,1,969865,2094.54,1,1,2593.24,45,300,30025,290,2900,25
2000,1,971760,1196.88,1,1,1795.32,50,200,20000,210,2101,22
2000,1,974054,2593.24,1,2,3191.68,50,36,3600,291,2910,527
2000,1,974054,2593.24,1,3,2094.54,45,36,3600,291,2910,275
2000,1,974253,1994.8,1,2,1496.1,46,36,3600,291,2910,376
2000,1,978542,2692.98,1,3,2593.24,31,36,3600,226,2260,22
2000,1,981135,1196.88,1,1,1795.32,39,6,600,291,2910,154
2000,1,982532,1994.8,1,1,1795.32,32,36,3600,290,2900,27
2000,1,985723,1196.88,1,1,1196.88,40,300,30030,235,2350,26
2000,1,985723,1196.88,1,2,1695.58,41,300,30030,235,2350,313
2000,1,986521,3790.12,1,1,2593.24,45,36,3600,291,2910,439
2000,1,987818,1496.1,1,1,2094.54,47,300,30025,234,2340,23
2000,1,987818,1496.1,1,2,1994.8,49,300,30025,234,2340,489
2000,1,994800,1396.36,1,3,1496.1,45,36,3600,210,2101,313
2000,1,996795,1795.32,1,1,1795.32,35,36,3600,290,2900,255
2000,1,997094,1795.32,1,5,1695.58,37,36,3600,211,2111,95
2000,1,1005572,1695.58,1,1,2393.76,39,300,30025,234,2340,628
2000,1,1005572,1695.58,1,2,1695.58,36,300,30025,234,2340,436
2000,1,1006070,797.92,1,1,1097.14,48,300,30050,291,2910,195
2000,1,1006868,4987,1,6,4488.3,34,300,30025,234,2340,486
